Make,Vehicle Class,Engine Size(L),Cylinders,Transmission,Fuel Type,CO2 Emissions(g/km),CO2 Rating,Smog Rating
mercedes-benz,suv: standard,3.0,6,a9,z,269,4,6
mercedes-benz,full-size,4.0,8,a9,z,301,3,5
mercedes-benz,special purpose vehicle,2.0,4,a9,z,267,4,6
mercedes-benz,special purpose vehicle,2.0,4,a9,z,282,4,6
mercedes-benz,full-size,3.0,6,a9,z,231,5,6
mercedes-benz,full-size,4.0,8,a9,z,285,4,5
mini,subcompact,1.5,3,am7,z,170,7,7
mini,subcompact,1.5,3,m6,z,177,7,7
mini,minicompact,1.5,3,am7,z,170,7,7
mini,minicompact,1.5,3,m6,z,177,7,7
mini,mid-size,1.5,3,as8,z,211,5,7
mini,subcompact,2.0,4,am7,z,174,7,7
mini,subcompact,2.0,4,m6,z,211,5,7
mini,mid-size,2.0,4,as8,z,207,6,7
mini,minicompact,2.0,4,am7,z,182,6,7
mini,minicompact,2.0,4,m6,z,205,6,7
mini,mid-size,2.0,4,as8,z,212,5,7
mini,subcompact,2.0,4,as8,z,191,6,7
mini,mid-size,2.0,4,as8,z,210,5,3
mini,minicompact,2.0,4,as8,z,198,6,7
mini,mid-size,2.0,4,as8,z,210,5,3
mitsubishi,suv: small,1.5,4,av8,x,216,5,5
mitsubishi,compact,1.2,3,av,x,143,7,5
mitsubishi,compact,1.2,3,m5,x,151,7,5
mitsubishi,suv: small,2.5,4,av8,x,208,6,6
mitsubishi,suv: small,2.0,4,av6,x,206,6,5
mitsubishi,suv: small,2.0,4,av6,x,213,5,5
mitsubishi,suv: small,2.4,4,av6,x,218,5,5
nissan,mid-size,2.5,4,av,x,186,6,7
nissan,mid-size,2.5,4,av,x,190,6,7
nissan,suv: standard,5.6,8,as7,z,362,2,3
nissan,pickup truck: standard,3.8,6,as9,x,266,4,5
nissan,pickup truck: standard,3.8,6,as9,x,288,4,5
nissan,mid-size,1.6,4,av,x,169,7,7
nissan,mid-size,3.5,6,av7,z,233,5,3
nissan,station wagon: mid-size,3.5,6,av7,x,245,5,5
nissan,suv: small,3.5,6,as9,x,246,5,5
nissan,station wagon: small,2.0,4,av8,x,188,6,6
nissan,station wagon: small,2.0,4,m6,x,213,5,6
nissan,station wagon: small,2.0,4,av8,x,196,6,6
nissan,suv: small,1.5,3,av8,x,169,7,6
nissan,suv: small,2.5,4,av8,x,190,6,7
nissan,suv: small,1.5,3,av8,x,179,7,6
nissan,suv: small,1.5,3,av8,x,181,6,6
nissan,suv: small,2.5,4,av8,x,195,6,7
nissan,mid-size,2.0,4,av,x,167,7,7
nissan,mid-size,2.0,4,av,x,171,7,7
nissan,mid-size,2.0,4,m6,x,185,6,7
nissan,mid-size,2.0,4,m6,x,189,6,7
nissan,compact,1.6,4,av,x,158,7,7
nissan,compact,1.6,4,m5,x,181,7,7
porsche,two-seater,2.0,4,am7,z,233,5,3
porsche,two-seater,2.0,4,m6,z,245,5,3
porsche,two-seater,2.0,4,am7,z,236,5,3
porsche,two-seater,2.5,4,am7,z,255,5,3
porsche,two-seater,2.5,4,m6,z,263,4,3
porsche,two-seater,4.0,6,am7,z,260,4,5
porsche,two-seater,4.0,6,m6,z,284,4,5
porsche,two-seater,4.0,6,am7,z,271,4,5
porsche,two-seater,4.0,6,m6,z,286,4,5
porsche,minicompact,3.0,6,am8,z,275,4,5
porsche,minicompact,3.0,6,am8,z,275,4,5
porsche,minicompact,3.0,6,am8,z,274,4,5
porsche,minicompact,3.0,6,m7,z,264,4,5
porsche,minicompact,3.0,6,am8,z,273,4,5
porsche,minicompact,3.0,6,m7,z,275,4,5
porsche,minicompact,3.0,6,am8,z,275,4,5
porsche,minicompact,3.0,6,m7,z,275,4,5
porsche,minicompact,3.0,6,am8,z,273,4,5
porsche,minicompact,3.0,6,m7,z,281,4,5
porsche,minicompact,3.0,6,am8,z,289,4,5
porsche,minicompact,3.0,6,m7,z,276,4,5
porsche,minicompact,3.0,6,am8,z,289,4,5
porsche,minicompact,3.0,6,m7,z,278,4,5
porsche,minicompact,3.0,6,am8,z,288,4,5
porsche,minicompact,3.0,6,m7,z,289,4,5
porsche,minicompact,3.0,6,am8,z,288,4,5
porsche,minicompact,3.0,6,m7,z,296,4,5
porsche,minicompact,4.0,6,am7,z,334,3,3
porsche,minicompact,4.0,6,m6,z,355,3,3
porsche,minicompact,4.0,6,am7,z,335,3,3
porsche,minicompact,4.0,6,m6,z,354,3,3
porsche,minicompact,3.0,6,am8,z,274,4,5
porsche,minicompact,3.0,6,m7,z,278,4,5
porsche,minicompact,3.0,6,am8,z,287,4,5
porsche,minicompact,3.7,6,am8,z,321,3,5
porsche,minicompact,3.7,6,am8,z,324,3,5
porsche,minicompact,3.7,6,am8,z,321,3,5
porsche,minicompact,3.7,6,am8,z,328,3,5
porsche,suv: standard,3.0,6,as8,z,289,4,5
porsche,suv: standard,2.9,6,as8,z,307,3,5
porsche,suv: standard,2.9,6,as8,z,305,3,5
porsche,suv: standard,4.0,8,as8,z,331,3,3
porsche,suv: standard,4.0,8,as8,z,326,3,3
porsche,suv: standard,4.0,8,as8,z,343,3,3
porsche,suv: standard,4.0,8,as8,z,330,3,3
porsche,suv: standard,4.0,8,as8,z,345,3,3
porsche,suv: small,2.0,4,am7,z,263,4,5
porsche,suv: small,2.9,6,am7,z,289,4,5
porsche,suv: small,2.9,6,am7,z,290,4,5
porsche,full-size,2.9,6,am8,z,274,4,5
porsche,full-size,2.9,6,am8,z,274,4,5
porsche,full-size,2.9,6,am8,z,289,4,5
porsche,full-size,2.9,6,am8,z,274,4,5
porsche,full-size,2.9,6,am8,z,276,4,5
porsche,full-size,2.9,6,am8,z,292,4,5
porsche,full-size,4.0,8,am8,z,323,3,3
porsche,full-size,4.0,8,am8,z,323,3,3
porsche,full-size,4.0,8,am8,z,326,3,3
ram,pickup truck: standard,3.0,6,a8,d,243,5,3
ram,pickup truck: standard,3.0,6,a8,d,238,5,3
ram,pickup truck: standard,3.6,6,a8,x,253,5,5
ram,pickup truck: standard,3.6,6,a8,x,245,5,5
ram,pickup truck: standard,5.7,8,a8,x,320,3,5
ram,pickup truck: standard,5.7,8,a8,x,275,4,5
ram,pickup truck: standard,3.0,6,a8,d,260,4,3
ram,pickup truck: standard,3.6,6,a8,x,260,4,5
ram,pickup truck: standard,5.7,8,a8,x,325,3,5
ram,pickup truck: standard,5.7,8,a8,x,284,4,5
ram,pickup truck: standard,6.0,8,a8,z,358,2,3
ram,pickup truck: standard,3.6,6,a8,x,280,4,3
ram,pickup truck: standard,5.7,8,a8,x,323,3,3
ram,pickup truck: standard,3.6,6,a8,x,295,4,3
ram,pickup truck: standard,5.7,8,a8,x,330,3,3
ram,special purpose vehicle,2.4,4,a9,x,232,5,6
rolls-royce,station wagon: mid-size,6.0,8,as8,z,386,2,3
rolls-royce,full-size,6.0,8,as8,z,387,2,3
rolls-royce,full-size,6.0,8,as8,z,382,2,3
subaru,suv: standard,2.4,4,av8,x,245,5,3
subaru,minicompact,2.4,4,as6,z,224,5,3
subaru,minicompact,2.4,4,m6,z,247,5,3
subaru,suv: small,2.0,4,av8,x,184,6,7
subaru,suv: small,2.0,4,m6,x,220,5,7
subaru,suv: small,2.5,4,av8,x,188,6,7
subaru,suv: small,2.5,4,av7,x,192,6,7
subaru,suv: small,2.5,4,av8,x,210,5,7
subaru,mid-size,2.0,4,av7,x,174,7,7
subaru,mid-size,2.0,4,m5,x,209,5,7
subaru,station wagon: small,2.0,4,av7,x,178,7,7
subaru,station wagon: small,2.0,4,m5,x,211,5,7
subaru,full-size,2.4,4,av8,x,205,6,3
subaru,full-size,2.5,4,av8,x,184,6,7
subaru,suv: small,2.4,4,av8,x,213,5,3
subaru,suv: small,2.5,4,av8,x,192,6,7
subaru,suv: small,2.4,4,av8,x,235,5,3
subaru,mid-size,2.4,4,av8,z,262,4,3
subaru,mid-size,2.4,4,m6,z,254,5,3
toyota,suv: standard,4.0,6,as5,x,323,3,5
toyota,suv: standard,4.0,6,as5,x,321,3,5
toyota,compact,2.0,4,as7,x,189,6,3
toyota,mid-size,2.5,4,as8,x,174,7,7
toyota,mid-size,2.5,4,as8,x,178,7,7
toyota,mid-size,3.5,6,as8,x,215,5,5
toyota,mid-size,3.5,6,as8,x,220,5,5
toyota,mid-size,2.5,4,as8,x,192,6,6
toyota,mid-size,2.5,4,as8,x,195,6,6
toyota,mid-size,2.5,4,av,x,113,7,7
toyota,mid-size,2.5,4,av,x,121,7,7
toyota,compact,1.8,4,av,x,166,7,5
toyota,compact,1.8,4,av,x,170,7,5
toyota,compact,1.8,4,m6,x,165,7,5
toyota,compact,2.0,4,av10,x,159,7,7
toyota,compact,2.0,4,av10,x,164,7,7
toyota,compact,2.0,4,m6,x,172,7,7
toyota,compact,2.0,4,av10,x,164,7,7
toyota,compact,2.0,4,av10,x,159,7,7
toyota,compact,2.0,4,m6,x,179,7,7
toyota,compact,1.8,4,av,x,106,7,7
toyota,suv: small,2.0,4,av10,x,171,7,7
toyota,suv: small,2.0,4,av10,x,182,6,7
toyota,minicompact,2.4,4,as6,z,224,5,3
toyota,minicompact,2.4,4,m6,z,246,5,3
toyota,two-seater,2.0,4,as8,z,195,6,7
toyota,two-seater,3.0,6,as8,z,218,5,5
toyota,suv: small,3.5,6,as8,x,241,5,5
toyota,suv: standard,2.5,4,av,x,158,7,7
toyota,suv: standard,2.5,4,av,x,156,7,7
toyota,mid-size,1.8,4,av,x,106,7,7
toyota,mid-size,1.8,4,av,x,111,7,7
toyota,suv: small,2.5,4,as8,x,184,6,7
toyota,suv: small,2.5,4,as8,x,180,7,7
toyota,suv: small,2.5,4,as8,x,198,6,6
toyota,suv: small,2.5,4,as8,x,187,6,6
toyota,suv: small,2.5,4,as8,x,184,6,6
toyota,suv: small,2.5,4,as8,x,200,6,6
toyota,suv: small,2.5,4,av,x,140,7,7
toyota,suv: standard,5.7,8,as6,x,385,2,5
toyota,minivan,2.5,4,av,x,154,7,7
toyota,minivan,2.5,4,av,x,158,7,7
toyota,pickup truck: small,3.5,6,as6,x,278,4,5
toyota,pickup truck: small,3.5,6,m6,x,299,3,5
toyota,pickup truck: small,3.5,6,m6,x,300,3,5
toyota,pickup truck: standard,3.4,6,as10,x,277,4,5
toyota,pickup truck: standard,3.4,6,as10,x,285,4,5
toyota,pickup truck: standard,3.4,6,as10,x,286,4,5
toyota,pickup truck: standard,3.4,6,as10,x,274,4,5
toyota,pickup truck: standard,3.4,6,as10,x,277,4,5
toyota,suv: small,2.5,4,av,x,142,7,7
volkswagen,suv: small,2.0,4,as8,x,249,5,3
volkswagen,suv: small,3.6,6,as8,x,286,4,5
volkswagen,suv: small,2.0,4,as8,x,252,5,3
volkswagen,suv: small,3.6,6,as8,x,275,4,5
volkswagen,mid-size,2.0,4,am7,x,194,6,5
volkswagen,mid-size,2.0,4,m6,x,198,6,5
volkswagen,mid-size,2.0,4,am7,z,213,5,5
volkswagen,mid-size,2.0,4,m6,z,237,5,5
volkswagen,compact,1.5,4,as8,x,159,7,7
volkswagen,compact,1.5,4,as8,x,167,7,7
volkswagen,compact,1.5,4,m6,x,161,7,7
volkswagen,compact,2.0,4,am7,x,185,6,7
volkswagen,compact,2.0,4,m6,x,186,6,7
volkswagen,mid-size,2.0,4,as6,x,196,6,7
volkswagen,suv: small,1.5,4,a8,x,178,7,7
volkswagen,suv: small,1.5,4,a7,x,200,6,7
volkswagen,suv: small,2.0,4,as8,x,222,5,7
volkswagen,suv: small,2.0,4,as8,x,229,5,7
volvo,compact,2.0,4,as8,z,186,6,5
volvo,compact,2.0,4,as8,z,193,6,5
volvo,mid-size,2.0,4,as8,z,212,5,7
volvo,station wagon: small,2.0,4,as8,z,224,5,7
volvo,station wagon: small,2.0,4,as8,z,221,5,5
volvo,station wagon: mid-size,2.0,4,as8,z,222,5,7
volvo,suv: small,2.0,4,as8,x,217,5,5
volvo,suv: small,2.0,4,as8,z,219,5,5
volvo,suv: small,2.0,4,as8,z,219,5,5
volvo,suv: small,2.0,4,as8,z,232,5,7
volvo,suv: standard,2.0,4,as8,z,236,5,5
volvo,suv: standard,2.0,4,as8,z,252,5,7
